Symbols,Attributes,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12
0001.HK,Adj Close,56.95000076293945,55.900001525878906,56.5,56.95000076293945,56.400001525878906
0001.HK,Close,56.95000076293945,55.900001525878906,56.5,56.95000076293945,56.400001525878906
0001.HK,High,57.5,56.70000076293945,56.5,56.95000076293945,57.0
0001.HK,Low,56.70000076293945,55.09999847412109,55.59999847412109,55.84999847412109,56.20000076293945
0001.HK,Open,57.20000076293945,56.400001525878906,55.900001525878906,56.59999847412109,57.0
0001.HK,Volume,6774041.0,8649623.0,2618906.0,3962436.0,2751930.0
0002.HK,Adj Close,76.0,76.69999694824219,77.0,77.0999984741211,77.05000305175781
0002.HK,Close,76.0,76.69999694824219,77.0,77.0999984741211,77.05000305175781
0002.HK,High,76.6500015258789,76.80000305175781,77.0999984741211,77.0999984741211,77.25
0002.HK,Low,75.8499984741211,76.05000305175781,76.3499984741211,76.5,76.69999694824219
0002.HK,Open,76.6500015258789,76.4000015258789,76.80000305175781,77.0,76.9000015258789
0002.HK,Volume,3432779.0,4018928.0,2504997.0,2044475.0,2289053.0
0003.HK,Adj Close,9.270000457763672,9.270000457763672,9.279999732971191,9.18000030517578,9.119999885559082
0003.HK,Close,9.270000457763672,9.270000457763672,9.279999732971191,9.18000030517578,9.119999885559082
0003.HK,High,9.460000038146973,9.390000343322754,9.300000190734863,9.25,9.199999809265137
0003.HK,Low,9.18000030517578,9.210000038146973,9.220000267028809,9.149999618530272,9.09000015258789
0003.HK,Open,9.460000038146973,9.210000038146973,9.279999732971191,9.220000267028809,9.170000076293944
0003.HK,Volume,39813426.0,27298039.0,16603114.0,29532294.0,26084562.0
000660.KS,Adj Close,113000.0,113500.0,112000.0,111500.0,111000.0
000660.KS,Close,113000.0,113500.0,112000.0,111500.0,111000.0
000660.KS,High,115500.0,114500.0,114000.0,113000.0,113000.0
000660.KS,Low,113000.0,110500.0,110500.0,110500.0,110500.0
000660.KS,Open,114500.0,111500.0,113000.0,111000.0,110500.0
000660.KS,Volume,4541938.0,5027865.0,4268316.0,2390786.0,2684885.0
0011.HK,Adj Close,151.0,150.89999389648438,150.8000030517578,151.0,151.1999969482422
0011.HK,Close,151.0,150.89999389648438,150.8000030517578,151.0,151.1999969482422
0011.HK,High,151.8000030517578,152.3000030517578,151.6999969482422,151.6999969482422,151.3000030517578
0011.HK,Low,149.0,150.1999969482422,149.3000030517578,150.10000610351562,150.0
0011.HK,Open,150.89999389648438,151.0,151.10000610351562,150.89999389648438,151.3000030517578
0011.HK,Volume,1338180.0,1291829.0,1776918.0,1396485.0,1179313.0
0016.HK,Adj Close,95.0500030517578,94.0,94.3499984741211,93.8499984741211,93.4499969482422
0016.HK,Close,95.0500030517578,94.0,94.3499984741211,93.8499984741211,93.4499969482422
0016.HK,High,95.3000030517578,94.6500015258789,94.6999969482422,94.5500030517578,93.75
0016.HK,Low,93.0,93.4000015258789,93.3000030517578,93.1500015258789,92.9000015258789
0016.HK,Open,93.0,94.25,94.0,94.3499984741211,93.4000015258789
0016.HK,Volume,3912550.0,3599200.0,2039551.0,2544725.0,1904378.0
0027.HK,Adj Close,46.45000076293945,46.0,45.75,44.5,45.29999923706055
0027.HK,Close,46.45000076293945,46.0,45.75,44.5,45.29999923706055
0027.HK,High,47.04999923706055,46.45000076293945,46.09999847412109,45.70000076293945,46.5
0027.HK,Low,45.79999923706055,45.79999923706055,45.34999847412109,44.400001525878906,43.54999923706055
0027.HK,Open,47.04999923706055,46.20000076293945,45.650001525878906,45.25,44.5
0027.HK,Volume,9688208.0,16275949.0,9904195.0,20660843.0,15143586.0
005380.KS,Adj Close,180000.0,178500.0,176500.0,179500.0,178000.0
005380.KS,Close,180000.0,178500.0,176500.0,179500.0,178000.0
005380.KS,High,182000.0,182000.0,179000.0,181000.0,180500.0
005380.KS,Low,176500.0,178500.0,175500.0,175500.0,176500.0
005380.KS,Open,177000.0,180000.0,178000.0,176000.0,179000.0
005380.KS,Volume,641803.0,778374.0,458780.0,641674.0,613762.0
005490.KS,Adj Close,285000.0,280500.0,283000.0,286000.0,282000.0
005490.KS,Close,285000.0,280500.0,283000.0,286000.0,282000.0
005490.KS,High,288000.0,286500.0,284500.0,289000.0,287000.0
005490.KS,Low,283500.0,280500.0,281000.0,281500.0,282000.0
005490.KS,Open,286000.0,283500.0,284500.0,282500.0,285500.0
005490.KS,Volume,235528.0,220834.0,185278.0,196683.0,193714.0
005930.KS,Adj Close,68500.0,68000.0,67800.0,67900.0,67000.0
005930.KS,Close,68500.0,68000.0,67800.0,67900.0,67000.0
005930.KS,High,68800.0,68500.0,68300.0,68100.0,67700.0
005930.KS,Low,68500.0,68000.0,67700.0,67400.0,67000.0
005930.KS,Open,68600.0,68500.0,68100.0,67800.0,67600.0
005930.KS,Volume,15517308.0,20683327.0,15453191.0,12263735.0,13813937.0
005935.KS,Adj Close,62200.0,62000.0,62000.0,61900.0,60500.0
005935.KS,Close,62200.0,62000.0,62000.0,61900.0,60500.0
005935.KS,High,62300.0,62400.0,62000.0,62200.0,61500.0
005935.KS,Low,62100.0,62000.0,61600.0,61700.0,60500.0
005935.KS,Open,62200.0,62200.0,61900.0,62200.0,61400.0
005935.KS,Volume,1132566.0,1467351.0,1495242.0,844300.0,2088243.0
012330.KS,Adj Close,216000.0,212000.0,209000.0,208000.0,206500.0
012330.KS,Close,216000.0,212000.0,209000.0,208000.0,206500.0
012330.KS,High,218500.0,216000.0,213000.0,211000.0,207500.0
012330.KS,Low,212000.0,212000.0,208000.0,207000.0,205000.0
012330.KS,Open,215000.0,214000.0,212500.0,209000.0,205000.0
012330.KS,Volume,228659.0,247679.0,207505.0,217181.0,264243.0
033780.KS,Adj Close,81200.0,81400.0,81800.0,82300.0,82000.0
033780.KS,Close,81200.0,81400.0,81800.0,82300.0,82000.0
033780.KS,High,81500.0,81600.0,81900.0,82300.0,82300.0
033780.KS,Low,81000.0,81000.0,81300.0,81000.0,81300.0
033780.KS,Open,81200.0,81000.0,81600.0,81400.0,82000.0
033780.KS,Volume,240077.0,293005.0,244415.0,277815.0,260351.0
035420.KS,Adj Close,330000.0,321000.0,316500.0,313000.0,308500.0
035420.KS,Close,330000.0,321000.0,316500.0,313000.0,308500.0
035420.KS,High,338000.0,328500.0,324500.0,313000.0,311000.0
035420.KS,Low,329000.0,321000.0,311500.0,308000.0,305000.0
035420.KS,Open,336500.0,323000.0,322000.0,311000.0,306000.0
035420.KS,Volume,647201.0,493204.0,626173.0,507362.0,464668.0
0386.HK,Adj Close,4.039999961853027,3.930000066757202,3.9800000190734863,3.9700000286102295,3.940000057220459
0386.HK,Close,4.039999961853027,3.930000066757202,3.9800000190734863,3.9700000286102295,3.940000057220459
0386.HK,High,4.070000171661377,4.039999961853027,4.0,4.0,3.9800000190734863
0386.HK,Low,4.019999980926514,3.920000076293945,3.940000057220459,3.930000066757202,3.910000085830689
0386.HK,Open,4.039999961853027,4.03000020980835,3.940000057220459,3.9800000190734863,3.9600000381469727
0386.HK,Volume,160086570.0,209236355.0,122438795.0,111885721.0,97168455.0
0388.HK,Adj Close,358.3999938964844,354.79998779296875,355.3999938964844,343.20001220703125,343.3999938964844
0388.HK,Close,358.3999938964844,354.79998779296875,355.3999938964844,343.20001220703125,343.3999938964844
0388.HK,High,370.0,361.7999877929688,356.6000061035156,352.3999938964844,347.6000061035156
0388.HK,Low,357.0,351.3999938964844,350.20001220703125,343.0,338.0
0388.HK,Open,370.0,354.20001220703125,352.3999938964844,351.20001220703125,343.20001220703125
0388.HK,Volume,7157883.0,3935719.0,3390506.0,5656964.0,4060040.0
051910.KS,Adj Close,530000.0,518000.0,525000.0,510000.0,505000.0
051910.KS,Close,530000.0,518000.0,525000.0,510000.0,505000.0
051910.KS,High,539000.0,524000.0,527000.0,524000.0,509000.0
051910.KS,Low,529000.0,511000.0,513000.0,507000.0,497000.0
051910.KS,Open,536000.0,519000.0,518000.0,518000.0,497000.0
051910.KS,Volume,125060.0,196367.0,128480.0,111018.0,149023.0
055550.KS,Adj Close,40800.0,40300.0,40250.0,41150.0,40950.0
055550.KS,Close,40800.0,40300.0,40250.0,41150.0,40950.0
055550.KS,High,41050.0,40900.0,40500.0,41150.0,41500.0
055550.KS,Low,39900.0,40000.0,40000.0,40250.0,40850.0
055550.KS,Open,39900.0,40000.0,40200.0,40300.0,41100.0
055550.KS,Volume,1649947.0,1234355.0,877310.0,1032854.0,1037402.0
068270.KS,Adj Close,168500.0,166500.0,164000.0,162000.0,161000.0
068270.KS,Close,168500.0,166500.0,164000.0,162000.0,161000.0
068270.KS,High,172000.0,170000.0,168000.0,164000.0,163500.0
068270.KS,Low,168000.0,166000.0,163000.0,159500.0,159000.0
068270.KS,Open,170500.0,167500.0,167500.0,163500.0,159500.0
068270.KS,Volume,323766.0,365033.0,291965.0,304419.0,280173.0
0688.HK,Adj Close,26.350000381469727,25.799999237060547,26.75,26.100000381469727,25.649999618530277
0688.HK,Close,26.350000381469727,25.799999237060547,26.75,26.100000381469727,25.649999618530277
0688.HK,High,26.899999618530277,26.75,27.200000762939453,26.700000762939453,26.399999618530277
0688.HK,Low,24.100000381469727,25.5,25.600000381469727,25.5,25.299999237060547
0688.HK,Open,24.100000381469727,26.200000762939453,25.799999237060547,26.700000762939453,26.25
0688.HK,Volume,79615145.0,35572227.0,39432906.0,38286087.0,34089511.0
0700.HK,Adj Close,381.0,374.3999938964844,369.6000061035156,353.6000061035156,366.3999938964844
0700.HK,Close,381.0,374.3999938964844,369.6000061035156,353.6000061035156,366.3999938964844
0700.HK,High,385.0,383.6000061035156,372.2000122070313,366.2000122070313,372.6000061035156
0700.HK,Low,380.0,373.7999877929688,366.0,353.0,358.6000061035156
0700.HK,Open,383.0,375.6000061035156,370.0,366.0,363.7999877929688
0700.HK,Volume,17127923.0,15874056.0,19600870.0,22788891.0,26409818.0
0823.HK,Adj Close,67.8499984741211,68.0,68.8499984741211,68.0999984741211,67.44999694824219
0823.HK,Close,67.8499984741211,68.0,68.8499984741211,68.0999984741211,67.44999694824219
0823.HK,High,68.0999984741211,68.0999984741211,69.0999984741211,68.75,68.0999984741211
0823.HK,Low,66.75,67.25,67.6500015258789,67.9000015258789,67.19999694824219
0823.HK,Open,68.0999984741211,67.5,67.6500015258789,68.5,67.8499984741211
0823.HK,Volume,5394246.0,5267907.0,7793327.0,4646958.0,3757693.0
0857.HK,Adj Close,4.130000114440918,4.079999923706055,4.090000152587891,4.019999980926514,3.950000047683716
0857.HK,Close,4.130000114440918,4.079999923706055,4.090000152587891,4.019999980926514,3.950000047683716
0857.HK,High,4.210000038146973,4.159999847412109,4.130000114440918,4.099999904632568,4.019999980926514
0857.HK,Low,4.0,4.070000171661377,4.050000190734863,4.0,3.900000095367432
0857.HK,Open,4.0,4.150000095367432,4.079999923706055,4.090000152587891,4.0
0857.HK,Volume,156273833.0,76207188.0,78026089.0,76383208.0,103917951.0
0883.HK,Adj Close,11.699999809265137,11.359999656677246,11.65999984741211,11.15999984741211,11.0600004196167
0883.HK,Close,11.699999809265137,11.359999656677246,11.65999984741211,11.15999984741211,11.0600004196167
0883.HK,High,11.84000015258789,11.81999969482422,11.779999732971191,11.720000267028809,11.279999732971191
0883.HK,Low,11.100000381469728,11.220000267028809,11.31999969482422,11.140000343322754,10.699999809265137
0883.HK,Open,11.119999885559082,11.520000457763672,11.31999969482422,11.399999618530272,11.18000030517578
0883.HK,Volume,274800313.0,187666963.0,154313976.0,162780237.0,161005524.0
0939.HK,Adj Close,5.909999847412109,5.880000114440918,5.889999866485596,5.860000133514404,5.829999923706055
0939.HK,Close,5.909999847412109,5.880000114440918,5.889999866485596,5.860000133514404,5.829999923706055
0939.HK,High,5.96999979019165,5.920000076293945,5.909999847412109,5.880000114440918,5.860000133514404
0939.HK,Low,5.860000133514404,5.849999904632568,5.860000133514404,5.809999942779541,5.820000171661377
0939.HK,Open,5.929999828338623,5.889999866485596,5.889999866485596,5.880000114440918,5.829999923706055
0939.HK,Volume,252246513.0,174436788.0,175205876.0,188123001.0,198900847.0
0941.HK,Adj Close,55.34999847412109,55.29999923706055,55.45000076293945,54.59999847412109,54.650001525878906
0941.HK,Close,55.34999847412109,55.29999923706055,55.45000076293945,54.59999847412109,54.650001525878906
